"bathy" "bathyrms" "slope" "aspect" "longitude" "latitude"
"357" -4084.875 144.218673706 41.5128593445 170.503921509 237 31
"358" -4062.5 79.7113494873 27.0130882263 218.559204102 236.75 31
"359" -4065.375 62.7517585754 19.2677841187 190.784515381 236.5 31
"360" -4096.625 84.3670806885 19.9032802582 187.956054688 236.25 31
"361" -4140 46.1885681152 21.7411956787 217.651199341 236 31
"362" -4154.75 42.0987892151 23.4530067444 207.430023193 235.75 31
"363" -4188.5 225.999450684 33.199760437 224.836044312 235.5 31
"364" -4257 105.44960022 28.6053981781 168.457107544 235.25 31
"365" -4221.75 59.8967781067 20.2089080811 181.468414307 235 31
"366" -4186.25 50.4305839539 17.9776763916 197.891052246 234.75 31
"367" -4250.75 93.6844482422 16.1278038025 246.440765381 234.5 31
"368" -4296 60.1128578186 18.8700695038 178.572296143 234.25 31
"369" -4294 174.141265869 25.1177940369 161.399520874 234 31
"370" -4332.625 163.121932983 23.1919307709 192.998123169 233.75 31
"371" -4377 69.52003479 21.7198925018 182.087295532 233.5 31
"372" -4309.25 213.202423096 30.5446224213 170.338043213 233.25 31
"373" -4235.5 144.900726318 30.2647418976 176.800628662 233 31
"374" -4217.25 192.194854736 34.5529098511 174.33203125 232.75 31
"375" -4243 269.652374268 33.1934204102 194.246643066 232.5 31
"376" -4272 313.235137939 29.8260784149 195.293487549 232.25 31
"377" -4316 265.874816895 42.8806724548 205.26701355 232 31
"378" -4403.5 65.4646072388 25.3276023865 197.621444702 231.75 31
"379" -4428.5 64.3762512207 22.2065467834 209.697219849 231.5 31
"380" -4460.5 64.3965072632 24.0676174164 200.447723389 231.25 31
"381" -4490 62.3790626526 24.9082527161 177.409851074 231 31
"382" -4515.25 130.666748047 25.022901535 212.988342285 230.75 31
"383" -4561.625 139.99961853 27.9490737915 199.613220215 230.5 31
"384" -4613 106.376304626 24.0149345398 185.001586914 230.25 31
"385" -4656.5 85.9423751831 24.0428066254 185.003143311 230 31
"386" -4661.75 76.0582809448 24.5241127014 204.248840332 229.75 31
"387" -4682 57.5336341858 26.1828842163 201.572036743 229.5 31
"388" -4688.5 82.976348877 32.1473503113 171.651977539 229.25 31
"389" -4670 113.023658752 28.0338783264 170.574493408 229 31
"390" -4694 84.5344619751 21.108247757 178.036636353 228.75 31
"391" -4733 106.221916199 25.9586162567 203.059127808 228.5 31
"392" -4815.25 77.3881072998 26.4944915771 203.785705566 228.25 31
"393" -4801.5 86.6122436523 19.5908203125 146.53855896 228 31
"394" -4779.75 43.7330970764 19.6437950134 143.888015747 227.75 31
"395" -4715 128.197143555 30.1644439697 200.09262085 227.5 31
"396" -4685 99.1256332397 27.0751628876 212.708526611 227.25 31
"397" -4663.25 94.181602478 31.1966915131 139.778884888 227 31
"398" -4660.75 91.6013793945 31.1330680847 190.220046997 226.75 31
"399" -4646 68.692276001 25.1022109985 159.031982422 226.5 31
"400" -4637 60.8541297913 28.6812839508 191.255554199 226.25 31
"401" -4699.5 120.937232971 29.856136322 203.134750366 226 31
"402" -4739.875 127.033241272 31.4673290253 187.849716187 225.75 31
"403" -4723.5 225.328582764 51.9698753357 154.701858521 225.5 31
"404" -4695 160.621368408 52.5133171082 172.93850708 225.25 31
"405" -4695 97.883972168 43.2177963257 174.709259033 225 31
"406" NA NA NA NA 245 31.25
"407" NA NA NA NA 244.75 31.25
"408" NA NA NA NA 244.5 31.25
"409" NA NA NA NA 244.25 31.25
"410" NA NA NA NA 244 31.25
"411" NA NA NA NA 243.75 31.25
"412" -81.5 50.6858215332 12.1412506104 223.49105835 243.5 31.25
"413" -965 472.221099854 56.7895927429 236.982070923 243.25 31.25
"414" -1334.625 225.504928589 74.2549057007 216.526275635 243 31.25
"415" -1693.625 238.824890137 50.000919342 181.33605957 242.75 31.25
"416" -1944.375 93.2373962402 35.1054534912 164.68687439 242.5 31.25
"417" -1907 250.500305176 39.0083961487 164.141235352 242.25 31.25
"418" -1641 268.556396484 65.1244277954 166.688735962 242 31.25
"419" -1710.375 371.437866211 76.993057251 195.876327515 241.75 31.25
